concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,partition_0
45075937,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,68084029111,2014-01-01,2099-12-31,,1
45774490,12 HR bupropion hydrochloride 90 MG / naltrexone hydrochloride 8 MG Extended Release Oral Tablet [Contrave],Drug,RxNorm,Quant Branded Drug,S,1551474,2014-12-01,2099-12-31,,1
21277721,Naltrexone 5mg/5ml oral solution,Drug,dm+d,AMP,,16106411000001103,1970-01-01,2099-12-31,,1
771336,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,98ec1871-c45f-a4f8-e053-2a95a90a0cd6,2018-07-19,2099-12-31,,1
45188996,Naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,52125072702,2014-01-01,2017-01-01,D,1
45103879,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,52372075102,2013-08-05,2099-12-31,,1
41029843,Naltrexone 50 MG Delayed Release Oral Tablet [Nemexin] Box of 30,Drug,RxNorm Extension,Branded Drug Box,S,OMOP2227805,2017-08-24,2099-12-31,,1
35605493,naltrexone Injection,Drug,RxNorm,Clinical Drug Form,S,1740871,2016-05-02,2099-12-31,,1
1764747,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,SPL,Prescription Drug,C,8efb44e0-ca8e-67ab-e053-2995a90ab832,2014-10-22,2099-12-31,,1
748328,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,71335206204,2022-04-01,2099-12-31,,1
40228626,MORPHINE SO4 80MG/NALTREXONE HCL 3.2MG CAP.SA,Drug,VANDF,Drug Product,,4029086,1970-01-01,2099-12-31,,1
1610075,NALTREXONE (EQV-VIVITROL) 380MG/VIL INJ.SUSP.SA,Drug,VANDF,Drug Product,,4034566,1970-01-01,2099-12-31,,1
1509461,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,e6db3030-da43-2199-e053-2a95a90ac06b,2012-12-06,2099-12-31,,1
44838410,Naltrexone 50 MG Oral Tablet [ReVia],Drug,NDC,11-digit NDC,,00056001122,2007-06-01,2013-01-01,D,1
42949491,Naltrexone Oral Tablet [WHANIN NALTREXON],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4676074,2018-08-21,2099-12-31,,1
36276550,Naltrexone 50 MG Oral Tablet [NALTREXONE ACCORD] Box of 28 by Accord,Drug,RxNorm Extension,Marketed Product,S,OMOP3127425,2017-10-01,2099-12-31,,1
42708190,0.4 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,1244063,2012-05-07,2099-12-31,,1
36498746,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,90751991-8e96-7f1e-e053-2a95a90a0696,2018-04-27,2099-12-31,,1
21294936,Naltrexone 12.5mg/5ml oral suspension,Drug,dm+d,AMP,,8637211000001103,1970-01-01,2099-12-31,,1
35409654,Naltrexone 50 MG [NALTREXONE ACCORD],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP1143239,2017-08-24,2099-12-31,,1
21249274,Naltrexone 5mg/5ml oral solution (Drug Tariff Special Order) 1 ml,Drug,dm+d,AMPP,,16106511000001104,1970-01-01,2099-12-31,,1
40206567,ALFENTANIL/NALTREXONE,Drug,NDFRT,Drug Interaction,,N0000177973,1970-01-01,2014-11-30,D,1
40228633,MORPHINE/NALTREXONE,Drug,NDFRT,Pharma Preparation,,N0000181659,2010-10-31,2099-12-31,,1
43210048,Naltrexone 50 MG [NALTREXONE INTAS],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP459126,2017-08-24,2099-12-31,,1
42949475,Naltrexone 25 MG [NALTRA],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP4676059,2018-08-21,2099-12-31,,1
40166389,morphine / naltrexone Extended Release Oral Capsule [Embeda],Drug,RxNorm,Branded Drug Form,S,863846,2009-10-04,2099-12-31,,1
36800731,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,NDC,9-digit NDC,,621350242,2017-07-21,2099-12-31,,1
45313224,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,62991124303,2013-08-05,2099-12-31,,1
37504699,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,f821dd49-3fa7-4d33-99de-19023ff1ae65,2020-11-20,2099-12-31,,1
37492332,Naltrexone Hydrochloride,Drug,CTD,Ingredient,,16676-29-2,1970-01-01,2099-12-31,,1
43133232,Naltrexone 50 MG Delayed Release Oral Tablet Box of 28,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP459164,2017-08-24,2099-12-31,,1
45729491,NALTREXONE MICROSPHERES 380 mg INTRAMUSC SUSPENSION. EXTENDED RELEASE. RECONST.,Drug,GCN_SEQNO,GCN_SEQNO,,060935,1970-01-01,2099-12-31,,1
41268674,Naltrexone Delayed Release Oral Tablet [Nrexon Hcl],Drug,RxNorm Extension,Branded Drug Form,,OMOP2466636,2017-07-30,2023-08-02,U,1
44111687,Naltrexone 50 MG Oral Tablet [Apo-Naltrexone],Drug,RxNorm Extension,Branded Drug,S,OMOP1106318,2017-08-24,2099-12-31,,1
36663398,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,SPL,Prescription Drug,C,74062009-01b3-4270-9080-139e0f0e29c9,2014-10-22,2099-12-31,,1
46239768,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,298d1c96-baeb-5e51-71a3-0b6abdefd410,2015-03-26,2099-12-31,,1
35505347,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,NDC,9-digit NDC,,500902945,2014-10-22,2099-12-31,,1
45830460,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED [revia],Drug,NDC,9-digit NDC,,512850275,2003-07-18,2099-12-31,,1
909841,methylnaltrexone,Drug,RxNorm,Ingredient,S,29899,2008-06-29,2099-12-31,,1
36987963,methylnaltrexone bromide 150mg/1 / 8mg/.4mL / 12mg/.6mL ORAL. SUBCUTANEOUS INJECTION. SOLUTION. TABLET [relistor],Drug,SPL,Prescription Drug,C,b8cb2e08-e94a-42b5-b762-0f7806b1e8ca,2008-04-24,2099-12-31,,1
45687693,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,46623a72-461c-4728-b78e-d9bb98d83582,2013-11-04,2099-12-31,,1
36683913,Methylnaltrexone bromide 20 mg/mL solution for injection,Drug,SNOMED,Clinical Drug,,781993005,2019-01-31,2099-12-31,,1
40739522,Naltrexone 50 MG Oral Tablet by Sigma,Drug,RxNorm Extension,Marketed Product,S,OMOP4717708,2018-06-04,2099-12-31,,1
44887170,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,63370015815,2013-08-05,2099-12-31,,1
44644995,Apo-Naltrexone [Drug],Drug,DPD,Drug Product,,2444275,1970-01-01,2099-12-31,,1
42375168,naltrexone hydrochloride 50mg,Drug,EDI,Drug Product,,653005830,1970-01-01,2099-12-31,,1
44041190,Naltrexone 50 MG [Apo-Naltrexone],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP1035821,2017-08-24,2099-12-31,,1
46276460,NALTREXONE (EQV-VIVITROL) 380MG/VIL INJ.SUSP.SA,Drug,NDFRT,VA Product,,N0000191655,2015-09-08,2099-12-31,,1
40220708,methylnaltrexone bromide 150 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,1801514,2016-10-03,2099-12-31,,1
21323711,Naltrexone 1mg capsules (Special Order) 1 capsule,Drug,dm+d,AMPP,,16015311000001109,1970-01-01,2099-12-31,,1
36285725,Naltrexone,Drug,GGR,Ingredient,,stof01233,2017-12-26,2018-08-31,D,1
40151064,methylnaltrexone Injectable Solution,Drug,RxNorm,Clinical Drug Form,,796392,2008-06-29,2015-09-07,D,1
45282702,Naltrexone 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,00179179270,2007-06-01,2012-06-01,D,1
44926878,Naltrexone 25 MG Oral Tablet,Drug,NDC,11-digit NDC,,00756030403,2007-06-01,2012-06-01,D,1
36682397,Naltrexone only product in oral dose form,Drug,SNOMED,Clinical Drug Form,,779966001,2019-01-31,2099-12-31,,1
36506883,Naltrexone 50 MG Oral Tablet [Nalorex] by Allomedic,Drug,RxNorm Extension,Marketed Product,S,OMOP4836014,2019-09-04,2099-12-31,,1
35771696,Naltrexone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Drug,RxNorm Extension,Marketed Product,S,OMOP2773157,2017-08-24,2099-12-31,,1
42837867,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,NDC,9-digit NDC,,687887084,2018-01-25,2099-12-31,,1
40209649,METHADONE/NALTREXONE,Drug,NDFRT,Drug Interaction,,N0000177995,1970-01-01,2014-11-30,D,1
46250913,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,42291063230,2015-05-01,2099-12-31,,1
35605495,naltrexone Injection [Vivitrol],Drug,RxNorm,Branded Drug Form,S,1740874,2016-05-02,2099-12-31,,1
40221222,naltrexone hydrochloride 7.2 MG,Drug,RxNorm,Clinical Drug Comp,S,1806727,2016-10-03,2099-12-31,,1
40692869,Naltrexone 25mg/5ml oral solution,Drug,dm+d,VMP,,35575311000001103,1970-01-01,2099-12-31,,1
45011760,Naltrexone 100 MG Oral Tablet,Drug,NDC,11-digit NDC,,00756030603,2007-06-01,2012-06-01,D,1
35775806,Naltrexone 50 MG Delayed Release Oral Tablet by A A H,Drug,RxNorm Extension,Marketed Product,S,OMOP2777267,2017-08-24,2099-12-31,,1
21127844,0.6 ML methylnaltrexone 20 MG/ML Prefilled Syringe Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP287655,2017-08-24,2099-12-31,,1
44013754,Apo-Naltrexone,Drug,RxNorm Extension,Brand Name,,OMOP1008385,1970-01-01,2099-12-31,,1
35425233,NALTREXONE ACCORD,Drug,BDPM,Brand Name,,OMOP1136968,1970-01-01,2019-10-05,D,1
40739517,Naltrexone 50 MG Oral Tablet [Adepend] by AOP,Drug,RxNorm Extension,Marketed Product,S,OMOP4717712,2018-06-04,2099-12-31,,1
42851917,NALTREXONE HCL 50MG TAB,Drug,NDFRT,VA Product,,N0000153222,2012-06-04,2099-12-31,,1
36376625,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,b0511240-936b-2036-e053-2995a90ac2af,2012-12-06,2099-12-31,,1
1235600,naltrexone 1.5 MG Oral Tablet,Drug,RxNorm Extension,Clinical Drug,S,OMOP5216306,2023-08-24,2099-12-31,,1
21262527,Naltrexone 3mg capsules 1 capsule,Drug,dm+d,VMPP,,11480111000001105,1970-01-01,2099-12-31,,1
21325140,Naltrexone 50mg tablets (Waymade Healthcare Plc) 28 tablet,Drug,dm+d,AMPP,,21817611000001109,1970-01-01,2099-12-31,,1
45644598,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,81e25c6a-81b6-4cfb-91bf-be20c3ae546b,2023-08-08,2099-12-31,,1
42902690,methylnaltrexone bromide 20 MG/ML Prefilled Syringe,Drug,RxNorm,Clinical Drug,S,1359803,2012-12-03,2099-12-31,,1
21178988,Naltrexone,Drug,dm+d,VTM,,87617007,1970-01-01,2018-06-03,D,1
42949469,Naltrexone 25 MG Oral Tablet [MISLIM],Drug,RxNorm Extension,Branded Drug,S,OMOP4676053,2018-08-21,2099-12-31,,1
21125590,Naltrexone 1 MG Oral Capsule by Special Order,Drug,RxNorm Extension,Marketed Product,,OMOP280346,2017-08-24,2023-08-02,U,1
40959705,Naltrexone 50 MG Oral Tablet Box of 280,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP2157667,2017-08-24,2099-12-31,,1
36062088,naltrexone 3 MG,Drug,RxNorm Extension,Clinical Drug Comp,S,OMOP4988073,2020-08-17,2099-12-31,,1
36002125,naltrexone KIT [vivitrol],Drug,SPL,Prescription Drug,C,e0d2f948-6b33-49cb-b248-44f817fbfde1,2006-06-13,2099-12-31,,1
41218206,methylnaltrexone 20 MG/ML Injection [Relistor] Box of 1,Drug,RxNorm Extension,Branded Drug Box,S,OMOP2416168,2017-08-24,2099-12-31,,1
40216631,NALTREXONE/PROPOXYPHENE,Drug,NDFRT,Drug Interaction,,N0000178000,1970-01-01,2014-11-30,D,1
35787000,100 ML Naltrexone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Drug,RxNorm Extension,Marketed Product,S,OMOP2788461,2017-08-24,2099-12-31,,1
21136574,1 ML Naltrexone 0.2 MG/ML Oral Solution,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP301937,2017-08-24,2099-12-31,,1
43731064,Naltrexone Oral Tablet [Nemexin],Drug,RxNorm Extension,Branded Drug Form,S,OMOP675742,2017-08-24,2099-12-31,,1
45793405,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,92e76536-867c-4a28-97bf-35173137abe2,2009-07-29,2099-12-31,,1
36470957,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,5c623d44-7373-75e9-e053-2991aa0a98f1,2009-07-29,2099-12-31,,1
45153641,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,49452483501,2013-08-05,2099-12-31,,1
44461600,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,50090286600,2017-03-01,2099-12-31,,1
44784872,naltrexone hydrochloride 100 MG [Depade],Drug,RxNorm,Branded Drug Comp,S,1483775,2014-01-06,2099-12-31,,1
46275649,methylnaltrexone Injection,Drug,RxNorm,Clinical Drug Form,S,1659739,2015-09-08,2099-12-31,,1
40220713,methylnaltrexone bromide 150 MG Oral Tablet [Relistor],Drug,RxNorm,Branded Drug,S,1801519,2016-10-03,2099-12-31,,1
35749997,Naltrexone 50 MG Delayed Release Oral Tablet [Opizone] Box of 28,Drug,RxNorm Extension,Branded Drug Box,S,OMOP2751458,2017-08-24,2099-12-31,,1
35763241,Naltrexone 50 MG Delayed Release Oral Tablet by Alliance,Drug,RxNorm Extension,Marketed Product,S,OMOP2764702,2017-08-24,2099-12-31,,1
44922029,naltrexone 380 MG Injection [Vivitrol],Drug,NDC,11-digit NDC,,65757030101,2010-02-01,2099-12-31,,1
600211,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,68071272103,2022-06-01,2099-12-31,,1
36175071,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,f11e8829-c23f-4c72-9831-670e1ff3c026,1998-05-08,2099-12-31,,1
42884010,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,SPL,Prescription Drug,C,ca584fad-9f6d-43ce-b08c-11fff7b2e335,2014-10-22,2099-12-31,,1
45935605,NALTREXONE,Drug,CIEL,Drug,,80375,2006-12-17,2099-12-31,,1
45221463,Naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,43063046915,2014-01-01,2017-09-01,D,1
37138501,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,63c38be3-b7e3-4fd9-8093-f8eaf6745193,2013-09-23,2099-12-31,,1
40166415,naltrexone hydrochloride 4 MG,Drug,RxNorm,Clinical Drug Comp,S,863540,2009-10-04,2099-12-31,,1
42949489,Naltrexone Oral Tablet [NALTRA],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4676072,2018-08-21,2099-12-31,,1
44360799,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,46f0de78-ef7a-43c0-e054-00144ff8d46c,2020-09-17,2099-12-31,,1
46251378,Naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,63629530402,2015-05-01,2018-12-01,D,1
45795596,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,a8e1e7e8-45ee-41de-af32-9a3f8332ca19,2012-01-02,2099-12-31,,1
36232091,ReVia Pill,Drug,RxNorm,Branded Dose Group,C,1178315,2016-08-01,2099-12-31,,1
42998752,PHARMA NALTREXONE Oral Tablet,Drug,KDC,Drug Product,,653005830,2018-08-03,2099-12-31,,1
21166169,1 ML Naltrexone 2.5 MG/ML Oral Suspension by Special Order,Drug,RxNorm Extension,Marketed Product,,OMOP301952,2017-08-24,2023-08-02,U,1
42375169,naltrexone hydrochloride 25mg,Drug,EDI,Drug Product,,657202700,1970-01-01,2099-12-31,,1
4328949,Methylnaltrexone,Drug,SNOMED,Substance,,431072004,2008-07-31,2099-12-31,,1
21155300,Naltrexone 50 MG Oral Tablet Box of 28 by Accord,Drug,RxNorm Extension,Marketed Product,S,OMOP280287,2017-08-24,2099-12-31,,1
43605179,Naltrexone 50 MG Oral Tablet [Nemexin] by Bristol Myers Squibb,Drug,RxNorm Extension,Marketed Product,S,OMOP675751,2017-08-24,2099-12-31,,1
1606369,METHYLNALTREXONE BROMIDE,Drug,VANDF,Drug Product,,4027432,1970-01-01,2099-12-31,,1
42949470,Naltrexone 25 MG Oral Tablet [NALTRA],Drug,RxNorm Extension,Branded Drug,S,OMOP4676054,2018-08-21,2099-12-31,,1
42949494,Naltrexone Oral Tablet [TRAXONE],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4676077,2018-08-21,2099-12-31,,1
45643110,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,3c7da2bc-e2c1-48f6-8c3f-287119b427e2,2012-05-01,2099-12-31,,1
44474476,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,NDC,9-digit NDC,,430630772,2014-10-22,2099-12-31,,1
45415264,methylnaltrexone 8 mg/0.4 mL subcutaneous solution,Drug,Multum,Multum,,27384,2013-08-05,2099-12-31,,1
44933901,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,52372075103,2013-08-05,2099-12-31,,1
40185296,methylnaltrexone bromide 20 MG/ML,Drug,RxNorm,Clinical Drug Comp,S,979112,2010-06-06,2099-12-31,,1
40185299,methylnaltrexone bromide 20 MG/ML [Relistor],Drug,RxNorm,Branded Drug Comp,S,979114,2010-06-06,2099-12-31,,1
1963366,methylnaltrexone bromide 150mg/1 / 8mg/.4mL / 12mg/.6mL ORAL. SUBCUTANEOUS INJECTION. SOLUTION. TABLET [relistor],Drug,SPL,Prescription Drug,C,7826bcdc-7490-4cef-9b96-094c2220f0c9,2008-04-24,2099-12-31,,1
42828400,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,68788708401,2018-03-01,2020-06-01,D,1
42801424,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,06982019-25a2-4bea-9e20-6c42b37c803e,2018-01-25,2099-12-31,,1
44975601,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,00185003901,2014-01-01,2099-12-31,,1
45195793,Methylnaltrexone bromide 20 MG/ML Injectable Solution [Relistor],Drug,NDC,11-digit NDC,,00008251304,2010-06-01,2014-02-01,D,1
45403942,Morphine-Naltrexone 80-3.2 MG Oral Capsule Extended Release,Drug,GPI,GPI,,65100055700260,1970-01-01,2099-12-31,,1
36219426,morphine / naltrexone Pill,Drug,RxNorm,Clinical Dose Group,C,1165402,2016-08-01,2099-12-31,,1
21174854,Naltrexone 50 MG Oral Tablet by A A H,Drug,RxNorm Extension,Marketed Product,S,OMOP280285,2017-08-24,2099-12-31,,1
44178523,Naltrexone 50 MG Delayed Release Oral Tablet [Nalorex] Box of 30 by Eurim-Pharm,Drug,RxNorm Extension,Marketed Product,S,OMOP3055246,2017-10-06,2099-12-31,,1
37204879,Morphine and naltrexone only product in oral dose form,Drug,SNOMED,Clinical Drug Form,,783812005,2019-07-31,2099-12-31,,1
2918163,bupropion 90 MG / naltrexone 8 MG Extended Release Oral Tablet [Contrave] Box of 112,Drug,RxNorm Extension,Branded Drug Box,S,OMOP5134988,2021-06-30,2099-12-31,,1
21282064,Naltrexone 50mg tablets 28 tablet,Drug,dm+d,VMPP,,3649911000001100,1970-01-01,2099-12-31,,1
19019240,Naltrexone 50 MG Oral Tablet,Drug,RxNorm,Clinical Drug,,198011,1970-01-01,2014-01-05,U,1
40246912,methylnaltrexone bromide 150mg/1 / 8mg/.4mL / 12mg/.6mL ORAL. SUBCUTANEOUS INJECTION. SOLUTION. TABLET [relistor],Drug,SPL,Prescription Drug,C,b8c4bb9a-edb3-4aa5-9e8a-03063fe355ef,2008-04-24,2099-12-31,,1
36952445,naltrexone 50 MG Oral Tablet [Adepend] Box of 28 by Aop Orphanc,Drug,RxNorm Extension,Marketed Product,S,OMOP5199528,2023-05-22,2099-12-31,,1
42949474,Naltrexone 25 MG [MISLIM],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP4676058,2018-08-21,2099-12-31,,1
36899588,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,3b9769f8-1b0e-4dcf-8e88-1b7221f0a588,2014-10-29,2099-12-31,,1
42540369,NALTREXONE HCL 50MG TAB,Drug,NDFRT,VA Product,,MTHU007810,1970-01-01,2005-07-29,D,1
21251835,Naltrexone 50mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet,Drug,dm+d,AMPP,,30981611000001104,1970-01-01,2099-12-31,,1
40692866,Naltrexone 2.5mg capsules,Drug,dm+d,AMP,,32871311000001101,1970-01-01,2099-12-31,,1
44784881,naltrexone hydrochloride 50 MG [Depade],Drug,RxNorm,Branded Drug Comp,S,1483766,2014-01-06,2099-12-31,,1
35199348,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,e584f90b-2dab-450b-8968-f736af25e412,2002-03-22,2099-12-31,,1
4221608,Naltrexone-containing product in parenteral dose form,Drug,SNOMED,Clinical Drug Form,,420826002,2006-07-31,2099-12-31,,1
45114169,Naltrexone 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,00756030501,2007-06-01,2012-06-01,D,1
41248690,Naltrexone 50 MG Oral Tablet [Nalorex] Box of 30,Drug,RxNorm Extension,Branded Drug Box,S,OMOP2446652,2017-08-24,2099-12-31,,1
37493031,Methylnaltrexone Bromide,Drug,CTD,Ingredient,,916055-92-0,1970-01-01,2099-12-31,,1
36969468,Naltrexone 50mg tablets (Medihealth (Northern) Ltd) 28 tablet,Drug,dm+d,AMPP,,39883911000001104,1970-01-01,2099-12-31,,1
718282,METHYLNALTREXONE 150MG TAB,Drug,NDFRT,VA Product,,N0000192785,2017-01-03,2099-12-31,,1
21115915,Naltrexone 50 MG Oral Tablet Box of 28 by Orphan,Drug,RxNorm Extension,Marketed Product,S,OMOP280288,2017-08-24,2099-12-31,,1
44382230,naltrexone hydrochloride and bupropion hydrochloride 8mg/1 / 90mg/1 ORAL TABLET. EXTENDED RELEASE [contrave extended-release],Drug,SPL,Prescription Drug,C,4f565dd9-d6ee-4599-a974-a3eb24958d3d,2014-10-22,2099-12-31,,1
36464071,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,521f9396-d825-4164-804f-6001463f2a9b,2012-02-29,2099-12-31,,1
44353824,NALTREXONE HYDROCHLORIDE - naltrexone hydrochloride tablet. film coated,Drug,SPL,Prescription Drug,C,5a738537-63e4-4a98-98a0-c803fc54d109,2017-03-21,2099-12-31,,1
4320727,METHYLNALTREXONE BROMIDE 12MG/0.6ML INJ.VIL,Drug,VANDF,Drug Product,,4027409,1970-01-01,2099-12-31,,1
1610621,BUPROPION 90MG/NALTREXONE HCL 8MG TAB.SA,Drug,VANDF,Drug Product,,4035110,1970-01-01,2099-12-31,,1
