concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45755384,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder",Condition,ICD10,ICD10 code,NA,F16.5,5/1/90,12/31/99,NA
45595883,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F16.7,5/1/90,12/31/99,NA
45581433,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F16.9,5/1/90,12/31/99,NA
45533082,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state",Condition,ICD10,ICD10 code,NA,F16.3,5/1/90,12/31/99,NA
45533083,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F16.4,5/1/90,12/31/99,NA
45595853,Mental and behavioural disorders due to use of opioids,Condition,ICD10,ICD10 Hierarchy,NA,F11,5/1/90,12/31/99,NA
45562006,"Mental and behavioural disorders due to use of opioids, acute intoxication",Condition,ICD10,ICD10 code,NA,F11.0,5/1/90,12/31/99,NA
45600700,"Mental and behavioural disorders due to use of opioids, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F11.6,5/1/90,12/31/99,NA
45600698,"Mental and behavioural disorders due to use of opioids, dependence syndrome",Condition,ICD10,ICD10 code,NA,F11.2,5/1/90,12/31/99,NA
45576498,"Mental and behavioural disorders due to use of opioids, harmful use",Condition,ICD10,ICD10 code,NA,F11.1,5/1/90,12/31/99,NA
45591094,"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F11.8,5/1/90,12/31/99,NA
45571716,"Mental and behavioural disorders due to use of opioids, psychotic disorder",Condition,ICD10,ICD10 code,NA,F11.5,5/1/90,12/31/99,NA
45600701,"Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F11.7,5/1/90,12/31/99,NA
45571718,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F11.9,5/1/90,12/31/99,NA
45571715,"Mental and behavioural disorders due to use of opioids, withdrawal state",Condition,ICD10,ICD10 code,NA,F11.3,5/1/90,12/31/99,NA
45586194,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F11.4,5/1/90,12/31/99,NA
45600710,"Mental and behavioural disorders due to use of other stimulants, including caffeine",Condition,ICD10,ICD10 Hierarchy,NA,F15,5/1/90,12/31/99,NA
45755381,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication",Condition,ICD10,ICD10 code,NA,F15.0,5/1/90,12/31/99,NA
45576517,"Mental and behavioural disorders due to use of other stimulants, including caffeine, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F15.6,5/1/90,12/31/99,NA
45576515,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome",Condition,ICD10,ICD10 code,NA,F15.2,5/1/90,12/31/99,NA
45581428,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use",Condition,ICD10,ICD10 code,NA,F15.1,5/1/90,12/31/99,NA
45586211,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F15.8,5/1/90,12/31/99,NA
45755382,"Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder",Condition,ICD10,ICD10 code,NA,F15.5,5/1/90,12/31/99,NA
45755383,"Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F15.7,5/1/90,12/31/99,NA
45566803,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F15.9,5/1/90,12/31/99,NA
45562018,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state",Condition,ICD10,ICD10 code,NA,F15.3,5/1/90,12/31/99,NA
45586209,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F15.4,5/1/90,12/31/99,NA
45538018,Mental and behavioural disorders due to use of sedatives or hypnotics,Condition,ICD10,ICD10 Hierarchy,NA,F13,5/1/90,12/31/99,NA
45571723,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication",Condition,ICD10,ICD10 code,NA,F13.0,5/1/90,12/31/99,NA
45755377,"Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F13.6,5/1/90,12/31/99,NA
45600706,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome",Condition,ICD10,ICD10 code,NA,F13.2,5/1/90,12/31/99,NA
45600705,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use",Condition,ICD10,ICD10 code,NA,F13.1,5/1/90,12/31/99,NA
45755378,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F13.8,5/1/90,12/31/99,NA
45566794,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder",Condition,ICD10,ICD10 code,NA,F13.5,5/1/90,12/31/99,NA
45566795,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F13.7,5/1/90,12/31/99,NA
45538026,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F13.9,5/1/90,12/31/99,NA
45755375,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state",Condition,ICD10,ICD10 code,NA,F13.3,5/1/90,12/31/99,NA
45755376,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F13.4,5/1/90,12/31/99,NA
45586218,Mental and behavioural disorders due to use of tobacco,Condition,ICD10,ICD10 Hierarchy,NA,F17,5/1/90,12/31/99,NA
45600718,"Mental and behavioural disorders due to use of tobacco, acute intoxication",Condition,ICD10,ICD10 code,NA,F17.0,5/1/90,12/31/99,NA
45542823,"Mental and behavioural disorders due to use of tobacco, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F17.6,5/1/90,12/31/99,NA
45571740,"Mental and behavioural disorders due to use of tobacco, dependence syndrome",Condition,ICD10,ICD10 code,NA,F17.2,5/1/90,12/31/99,NA
45571739,"Mental and behavioural disorders due to use of tobacco, harmful use",Condition,ICD10,ICD10 code,NA,F17.1,5/1/90,12/31/99,NA
45542824,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F17.8,5/1/90,12/31/99,NA
45542822,"Mental and behavioural disorders due to use of tobacco, psychotic disorder",Condition,ICD10,ICD10 code,NA,F17.5,5/1/90,12/31/99,NA
45591118,"Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F17.7,5/1/90,12/31/99,NA
45542825,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F17.9,5/1/90,12/31/99,NA
45576522,"Mental and behavioural disorders due to use of tobacco, withdrawal state",Condition,ICD10,ICD10 code,NA,F17.3,5/1/90,12/31/99,NA
45562026,"Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F17.4,5/1/90,12/31/99,NA
45547682,Mental and behavioural disorders due to use of volatile solvents,Condition,ICD10,ICD10 Hierarchy,NA,F18,5/1/90,12/31/99,NA
45533086,"Mental and behavioural disorders due to use of volatile solvents, acute intoxication",Condition,ICD10,ICD10 code,NA,F18.0,5/1/90,12/31/99,NA
45571745,"Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F18.6,5/1/90,12/31/99,NA
45586221,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome",Condition,ICD10,ICD10 code,NA,F18.2,5/1/90,12/31/99,NA
45605478,"Mental and behavioural disorders due to use of volatile solvents, harmful use",Condition,ICD10,ICD10 code,NA,F18.1,5/1/90,12/31/99,NA
45600722,"Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F18.8,5/1/90,12/31/99,NA
45571744,"Mental and behavioural disorders due to use of volatile solvents, psychotic disorder",Condition,ICD10,ICD10 code,NA,F18.5,5/1/90,12/31/99,NA
45552456,"Mental and behavioural disorders due to use of volatile solvents, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F18.7,5/1/90,12/31/99,NA
45600723,"Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F18.9,5/1/90,12/31/99,NA
45586223,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state",Condition,ICD10,ICD10 code,NA,F18.3,5/1/90,12/31/99,NA
45557186,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F18.4,5/1/90,12/31/99,NA
1568096,Alcohol abuse,Condition,ICD10CM,4-char nonbill code,NA,F10.1,1/1/12,12/31/99,NA
45600693,Alcohol abuse with alcohol-induced anxiety disorder,Condition,ICD10CM,6-char billing code,NA,F10.180,1/1/70,12/31/99,NA
45581404,Alcohol abuse with alcohol-induced mood disorder,Condition,ICD10CM,5-char billing code,NA,F10.14,1/1/70,12/31/99,NA
1568098,Alcohol abuse with alcohol-induced psychotic disorder,Condition,ICD10CM,5-char nonbill code,NA,F10.15,1/1/12,12/31/99,NA
45600692,Alcohol abuse with alcohol-induced psychotic disorder with delusions,Condition,ICD10CM,6-char billing code,NA,F10.150,1/1/70,12/31/99,NA
45595846,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,Condition,ICD10CM,6-char billing code,NA,F10.151,1/1/70,12/31/99,NA
45571707,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.159,1/1/70,12/31/99,NA
45600694,Alcohol abuse with alcohol-induced sexual dysfunction,Condition,ICD10CM,6-char billing code,NA,F10.181,1/1/70,12/31/99,NA
45538006,Alcohol abuse with alcohol-induced sleep disorder,Condition,ICD10CM,6-char billing code,NA,F10.182,1/1/70,12/31/99,NA
1568097,Alcohol abuse with intoxication,Condition,ICD10CM,5-char nonbill code,NA,F10.12,1/1/12,12/31/99,NA
45576493,Alcohol abuse with intoxication delirium,Condition,ICD10CM,6-char billing code,NA,F10.121,1/1/70,12/31/99,NA
45538005,"Alcohol abuse with intoxication, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.120,1/1/70,12/31/99,NA
45557154,"Alcohol abuse with intoxication, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.129,1/1/70,12/31/99,NA
45576494,Alcohol abuse with other alcohol-induced disorder,Condition,ICD10CM,6-char billing code,NA,F10.188,1/1/70,12/31/99,NA
1568099,Alcohol abuse with other alcohol-induced disorders,Condition,ICD10CM,5-char nonbill code,NA,F10.18,1/1/12,12/31/99,NA
45576495,Alcohol abuse with unspecified alcohol-induced disorder,Condition,ICD10CM,5-char billing code,NA,F10.19,1/1/70,12/31/99,NA
725273,Alcohol abuse with withdrawal delirium,Condition,ICD10CM,6-char billing code,NA,F10.131,1/1/21,12/31/99,NA
725274,Alcohol abuse with withdrawal with perceptual disturbance,Condition,ICD10CM,6-char billing code,NA,F10.132,1/1/21,12/31/99,NA
725272,"Alcohol abuse with withdrawal, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.130,1/1/21,12/31/99,NA
725275,"Alcohol abuse with withdrawal, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.139,1/1/21,12/31/99,NA
1326497,"Alcohol abuse, in remission",Condition,ICD10CM,5-char billing code,NA,F10.11,1/1/18,12/31/99,NA
45595845,"Alcohol abuse, uncomplicated",Condition,ICD10CM,5-char billing code,NA,F10.10,1/1/70,12/31/99,NA
725271,"Alcohol abuse, with withdrawal",Condition,ICD10CM,5-char nonbill code,NA,F10.13,1/1/21,12/31/99,NA
1568100,Alcohol dependence,Condition,ICD10CM,4-char nonbill code,NA,F10.2,1/1/12,12/31/99,NA
45566777,Alcohol dependence with alcohol-induced anxiety disorder,Condition,ICD10CM,6-char billing code,NA,F10.280,1/1/70,12/31/99,NA
45562002,Alcohol dependence with alcohol-induced mood disorder,Condition,ICD10CM,5-char billing code,NA,F10.24,1/1/70,12/31/99,NA
45595847,Alcohol dependence with alcohol-induced persisting amnestic disorder,Condition,ICD10CM,5-char billing code,NA,F10.26,1/1/70,12/31/99,NA
45566776,Alcohol dependence with alcohol-induced persisting dementia,Condition,ICD10CM,5-char billing code,NA,F10.27,1/1/70,12/31/99,NA
45600695,Alcohol dependence with alcohol-induced psychotic disorder,Condition,ICD10CM,5-char nonbill code,NA,F10.25,12/30/06,12/31/99,NA
45562003,Alcohol dependence with alcohol-induced psychotic disorder with delusions,Condition,ICD10CM,6-char billing code,NA,F10.250,1/1/70,12/31/99,NA
45557155,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,Condition,ICD10CM,6-char billing code,NA,F10.251,1/1/70,12/31/99,NA
45571708,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.259,1/1/70,12/31/99,NA
45591083,Alcohol dependence with alcohol-induced sexual dysfunction,Condition,ICD10CM,6-char billing code,NA,F10.281,1/1/70,12/31/99,NA
45600696,Alcohol dependence with alcohol-induced sleep disorder,Condition,ICD10CM,6-char billing code,NA,F10.282,1/1/70,12/31/99,NA
45591082,Alcohol dependence with intoxication,Condition,ICD10CM,5-char nonbill code,NA,F10.22,12/30/06,12/31/99,NA
45586189,Alcohol dependence with intoxication delirium,Condition,ICD10CM,6-char billing code,NA,F10.221,1/1/70,12/31/99,NA
45586188,"Alcohol dependence with intoxication, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.220,1/1/70,12/31/99,NA
45538007,"Alcohol dependence with intoxication, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.229,1/1/70,12/31/99,NA
45571709,Alcohol dependence with other alcohol-induced disorder,Condition,ICD10CM,6-char billing code,NA,F10.288,1/1/70,12/31/99,NA
1568101,Alcohol dependence with other alcohol-induced disorders,Condition,ICD10CM,5-char nonbill code,NA,F10.28,1/1/12,12/31/99,NA
45591084,Alcohol dependence with unspecified alcohol-induced disorder,Condition,ICD10CM,5-char billing code,NA,F10.29,1/1/70,12/31/99,NA
45605452,Alcohol dependence with withdrawal,Condition,ICD10CM,5-char nonbill code,NA,F10.23,12/30/06,12/31/99,NA
45552431,Alcohol dependence with withdrawal delirium,Condition,ICD10CM,6-char billing code,NA,F10.231,1/1/70,12/31/99,NA
45566775,Alcohol dependence with withdrawal with perceptual disturbance,Condition,ICD10CM,6-char billing code,NA,F10.232,1/1/70,12/31/99,NA
45586190,"Alcohol dependence with withdrawal, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.230,1/1/70,12/31/99,NA
45533065,"Alcohol dependence with withdrawal, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.239,1/1/70,12/31/99,NA
45581405,"Alcohol dependence, in remission",Condition,ICD10CM,5-char billing code,NA,F10.21,1/1/70,12/31/99,NA
45586187,"Alcohol dependence, uncomplicated",Condition,ICD10CM,5-char billing code,NA,F10.20,1/1/70,12/31/99,NA
1568095,Alcohol related disorders,Condition,ICD10CM,3-char nonbill code,NA,F10,1/1/12,12/31/99,NA
1568102,"Alcohol use, unspecified",Condition,ICD10CM,4-char nonbill code,NA,F10.9,1/1/12,12/31/99,NA
45566781,"Alcohol use, unspecified with alcohol-induced anxiety disorder",Condition,ICD10CM,6-char billing code,NA,F10.980,1/1/70,12/31/99,NA
45542791,"Alcohol use, unspecified with alcohol-induced mood disorder",Condition,ICD10CM,5-char billing code,NA,F10.94,1/1/70,12/31/99,NA
45566780,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",Condition,ICD10CM,5-char billing code,NA,F10.96,1/1/70,12/31/99,NA
45547675,"Alcohol use, unspecified with alcohol-induced persisting dementia",Condition,ICD10CM,5-char billing code,NA,F10.97,1/1/70,12/31/99,NA
1568104,"Alcohol use, unspecified with alcohol-induced psychotic disorder",Condition,ICD10CM,5-char nonbill code,NA,F10.95,1/1/12,12/31/99,NA
45566779,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",Condition,ICD10CM,6-char billing code,NA,F10.950,1/1/70,12/31/99,NA
45591087,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",Condition,ICD10CM,6-char billing code,NA,F10.951,1/1/70,12/31/99,NA
45586192,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.959,1/1/70,12/31/99,NA
45538009,"Alcohol use, unspecified with alcohol-induced sexual dysfunction",Condition,ICD10CM,6-char billing code,NA,F10.981,1/1/70,12/31/99,NA
45562005,"Alcohol use, unspecified with alcohol-induced sleep disorder",Condition,ICD10CM,6-char billing code,NA,F10.982,1/1/70,12/31/99,NA
1568103,"Alcohol use, unspecified with intoxication",Condition,ICD10CM,5-char nonbill code,NA,F10.92,1/1/12,12/31/99,NA
45566778,"Alcohol use, unspecified with intoxication delirium",Condition,ICD10CM,6-char billing code,NA,F10.921,1/1/70,12/31/99,NA
45595851,"Alcohol use, unspecified with intoxication, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.920,1/1/70,12/31/99,NA
45552432,"Alcohol use, unspecified with intoxication, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.929,1/1/70,12/31/99,NA
45576497,"Alcohol use, unspecified with other alcohol-induced disorder",Condition,ICD10CM,6-char billing code,NA,F10.988,1/1/70,12/31/99,NA
1568105,"Alcohol use, unspecified with other alcohol-induced disorders",Condition,ICD10CM,5-char nonbill code,NA,F10.98,1/1/12,12/31/99,NA
45605456,"Alcohol use, unspecified with unspecified alcohol-induced disorder",Condition,ICD10CM,5-char billing code,NA,F10.99,1/1/70,12/31/99,NA
725276,"Alcohol use, unspecified with withdrawal",Condition,ICD10CM,5-char nonbill code,NA,F10.93,1/1/21,12/31/99,NA
725278,"Alcohol use, unspecified with withdrawal delirium",Condition,ICD10CM,6-char billing code,NA,F10.931,1/1/21,12/31/99,NA
725279,"Alcohol use, unspecified with withdrawal with perceptual disturbance",Condition,ICD10CM,6-char billing code,NA,F10.932,1/1/21,12/31/99,NA
725277,"Alcohol use, unspecified with withdrawal, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F10.930,1/1/21,12/31/99,NA
725280,"Alcohol use, unspecified with withdrawal, unspecified",Condition,ICD10CM,6-char billing code,NA,F10.939,1/1/21,12/31/99,NA
37402462,"Alcohol use, unspecified, in remission",Condition,ICD10CM,5-char billing code,NA,F10.91,10/1/22,12/31/99,NA
37402461,"Alcohol use, unspecified, uncomplicated",Condition,ICD10CM,5-char billing code,NA,F10.90,10/1/22,12/31/99,NA
1568118,Cannabis abuse,Condition,ICD10CM,4-char nonbill code,NA,F12.1,1/1/12,12/31/99,NA
45533069,Cannabis abuse with cannabis-induced anxiety disorder,Condition,ICD10CM,6-char billing code,NA,F12.180,1/1/70,12/31/99,NA
1568119,Cannabis abuse with intoxication,Condition,ICD10CM,5-char nonbill code,NA,F12.12,1/1/12,12/31/99,NA
45542799,Cannabis abuse with intoxication delirium,Condition,ICD10CM,6-char billing code,NA,F12.121,1/1/70,12/31/99,NA
45586199,Cannabis abuse with intoxication with perceptual disturbance,Condition,ICD10CM,6-char billing code,NA,F12.122,1/1/70,12/31/99,NA
45547676,"Cannabis abuse with intoxication, uncomplicated",Condition,ICD10CM,6-char billing code,NA,F12.120,1/1/70,12/31/99,NA
