concept_id,concept_name,vocabulary_id,concept_code
45539345,Unspecified symptoms and signs involving cognitive functions and awareness,ICD10CM,R41.9
45576542,Recurrent depressive disorder,ICD10,F33
45595906,Phobic anxiety disorders,ICD10,F40
1572239,Other symptoms and signs involving cognitive functions and awareness,ICD10CM,R41
45755637,"Somnolence, stupor and coma",ICD10,R40
45544147,Disturbances of smell and taste,ICD10,R43
45568141,Syncope and collapse,ICD10,R55
433758,Childhood emotional disorder,SNOMED,268664001
4025215,Emotional state finding,SNOMED,106126000
45573032,"Chronic fatigue, unspecified",ICD10CM,R53.82
45595967,Postviral fatigue syndrome,ICD10,G93.3
35207489,Familial dysautonomia [Riley-Day],ICD10CM,G90.1
35207916,Orthostatic hypotension,ICD10CM,I95.1
1568217,Depressive episode,ICD10CM,F32
42535090,Need for personal care assistance,SNOMED,15936341000119106
40483832,Orthostatic headache,SNOMED,445511002
4105183,Childhood disorder of conduct and emotion,SNOMED,192099000
45553725,Unspecified symptoms and signs involving the nervous system,ICD10CM,R29.90
1568221,Phobic anxiety disorders,ICD10CM,F40
45581521,Familial dysautonomia [Riley-Day],ICD10,G90.1
378253,Headache,SNOMED,25064002
44784217,Cardiac arrhythmia,SNOMED,698247007
4282096,"Major depression, single episode",SNOMED,36923009
440383,Depressive disorder,SNOMED,35489007
37402486,Postviral fatigue syndrome,ICD10CM,G93.31
45558446,Palpitations,ICD10,R00.2
45605872,Orthostatic hypotension,ICD10,I95.1
315078,Palpitations,SNOMED,80313002
4024013,Sensory nervous system finding,SNOMED,106147001
35211350,Dizziness and giddiness,ICD10CM,R42
1572242,Disturbances of smell and taste,ICD10CM,R43
1572246,Symptoms and signs involving appearance and behavior,ICD10CM,R46
374905,Non-organic sleep disorder,SNOMED,270487001
45600355,Need for assistance due to reduced mobility,ICD10,Z74.0
4223659,Fatigue,SNOMED,84229001
433316,Dizziness and giddiness,SNOMED,271789005
4137049,Disability affecting daily living,SNOMED,413298002
45568125,Other symptoms and signs involving the nervous system,ICD10CM,R29.818
1568441,Other disorders of nervous system not elsewhere classified,ICD10CM,G98
35207494,"Disorder of the autonomic nervous system, unspecified",ICD10CM,G90.9
1568265,Emotional disorders with onset specific to childhood,ICD10CM,F93
376337,Disorder of nervous system,SNOMED,118940003
444100,Mood disorder,SNOMED,46206005
319041,Orthostatic hypotension,SNOMED,28651003
4104196,Familial dysautonomia,SNOMED,29159009
1568242,Sleep disorders not due to a substance or known physiological condition,ICD10CM,F51
766503,"Post COVID-19 condition, unspecified",ICD10CM,U09.9
35211391,Syncope and collapse,ICD10CM,R55
4116798,Finding of general observation of appearance,SNOMED,301305006
4310235,Reduced mobility,SNOMED,8510008
1568230,Other anxiety disorders,ICD10CM,F41
4272240,Malaise,SNOMED,367391008
