hd_domain,cssr_category_1,cssr_category_1_description,self_selected_category,icd10cm_code,icd10cm_code_description,exclude,Number_of_Paper_Support (out of 9 studies),symptomatic,measured,syndromic,systemic,clincian_interest,cluster_category,notes,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,partition_0
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70322,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45576904,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.322,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70323,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45567211,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.323,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70328,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45552828,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.328,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70329,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45601067,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.329,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70421,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45576907,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.421,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70422,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45562395,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.422,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70423,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45562396,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.423,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70428,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45576908,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.428,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70429,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45581802,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.429,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70521,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45552833,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.521,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70522,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45601073,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.522,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70523,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45586616,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.523,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70528,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45552834,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.528,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70529,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45543212,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.529,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70621,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45533492,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.621,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70622,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45557585,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.622,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70623,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45557586,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.623,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70628,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45557587,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.628,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70629,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45562398,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.629,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70721,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45605842,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.721,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70722,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45586619,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.722,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70723,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45586620,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.723,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70728,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45538436,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.728,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70729,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45581806,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.729,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M255,Pain in joint,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,1570565,Pain in joint,Condition,ICD10CM,4-char nonbill code,NA,M25.5,2012-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2550,Pain in unspecified joint,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45577227,Pain in unspecified joint,Condition,ICD10CM,5-char billing code,NA,M25.50,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2551,Pain in shoulder,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,1570566,Pain in shoulder,Condition,ICD10CM,5-char nonbill code,NA,M25.51,2012-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25511,Pain in right shoulder,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45591807,Pain in right shoulder,Condition,ICD10CM,6-char billing code,NA,M25.511,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25512,Pain in left shoulder,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45591808,Pain in left shoulder,Condition,ICD10CM,6-char billing code,NA,M25.512,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25519,Pain in unspecified shoulder,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45606200,Pain in unspecified shoulder,Condition,ICD10CM,6-char billing code,NA,M25.519,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2552,Pain in elbow,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,45591809,Pain in elbow,Condition,ICD10CM,5-char nonbill code,NA,M25.52,2006-12-30,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25521,Pain in right elbow,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45601423,Pain in right elbow,Condition,ICD10CM,6-char billing code,NA,M25.521,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25522,Pain in left elbow,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45553157,Pain in left elbow,Condition,ICD10CM,6-char billing code,NA,M25.522,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25529,Pain in unspecified elbow,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45606201,Pain in unspecified elbow,Condition,ICD10CM,6-char billing code,NA,M25.529,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2553,Pain in wrist,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,45606202,Pain in wrist,Condition,ICD10CM,5-char nonbill code,NA,M25.53,2006-12-30,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25531,Pain in right wrist,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45557855,Pain in right wrist,Condition,ICD10CM,6-char billing code,NA,M25.531,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25532,Pain in left wrist,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45553158,Pain in left wrist,Condition,ICD10CM,6-char billing code,NA,M25.532,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25539,Pain in unspecified wrist,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45557856,Pain in unspecified wrist,Condition,ICD10CM,6-char billing code,NA,M25.539,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2554,Pain in joints of hand,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,37200700,Pain in joints of hand,Condition,ICD10CM,5-char nonbill code,NA,M25.54,2017-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25541,Pain in joints of right hand,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,37200701,Pain in joints of right hand,Condition,ICD10CM,6-char billing code,NA,M25.541,2017-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25542,Pain in joints of left hand,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,37200702,Pain in joints of left hand,Condition,ICD10CM,6-char billing code,NA,M25.542,2017-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25549,Pain in joints of unspecified hand,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,37200703,Pain in joints of unspecified hand,Condition,ICD10CM,6-char billing code,NA,M25.549,2017-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M2555,Pain in hip,NA,0,1,NA,1,0,clinician,Musculoskeletal,NA,1570567,Pain in hip,Condition,ICD10CM,5-char nonbill code,NA,M25.55,2012-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25551,Pain in right hip,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45562699,Pain in right hip,Condition,ICD10CM,6-char billing code,NA,M25.551,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25552,Pain in left hip,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45572430,Pain in left hip,Condition,ICD10CM,6-char billing code,NA,M25.552,1970-01-01,2099-12-31,NA,1
Diseases of the Musculoskeletal System and Connective Tissue,MUS010,"Musculoskeletal pain, not low back pain",Pain,M25559,Pain in unspecified hip,NA,2,1,NA,1,0,clinician,Musculoskeletal,NA,45577228,Pain in unspecified hip,Condition,ICD10CM,6-char billing code,NA,M25.559,1970-01-01,2099-12-31,NA,1
