"concept_id","concept_name","concept_code","vocabulary_id"
45572232,"Infarction of liver","K76.3","ICD10"
45562511,"Peliosis hepatis","K76.4","ICD10"
45591607,"Hepatic veno-occlusive disease","K76.5","ICD10"
45591608,"Portal hypertension","K76.6","ICD10"
45557677,"Hepatorenal syndrome","K76.7","ICD10"
45548169,"Other specified diseases of liver","K76.8","ICD10"
45572233,"Liver disease, unspecified","K76.9","ICD10"
45543342,"Liver disorders in diseases classified elsewhere","K77","ICD10"
45538547,"Liver disorders in infectious and parasitic diseases classified elsewhere","K77.0","ICD10"
1569669,"Alcoholic liver disease","K70","ICD10CM"
35208330,"Alcoholic fatty liver","K70.0","ICD10CM"
1569670,"Alcoholic hepatitis","K70.1","ICD10CM"
45562507,"Alcoholic hepatitis without ascites","K70.10","ICD10CM"
45552946,"Alcoholic hepatitis with ascites","K70.11","ICD10CM"
35208331,"Alcoholic fibrosis and sclerosis of liver","K70.2","ICD10CM"
1569671,"Alcoholic cirrhosis of liver","K70.3","ICD10CM"
45605952,"Alcoholic cirrhosis of liver without ascites","K70.30","ICD10CM"
45538545,"Alcoholic cirrhosis of liver with ascites","K70.31","ICD10CM"
1569672,"Alcoholic hepatic failure","K70.4","ICD10CM"
45586730,"Alcoholic hepatic failure without coma","K70.40","ICD10CM"
45552947,"Alcoholic hepatic failure with coma","K70.41","ICD10CM"
35208332,"Alcoholic liver disease, unspecified","K70.9","ICD10CM"
1569673,"Toxic liver disease","K71","ICD10CM"
35208333,"Toxic liver disease with cholestasis","K71.0","ICD10CM"
1569674,"Toxic liver disease with hepatic necrosis","K71.1","ICD10CM"
45557672,"Toxic liver disease with hepatic necrosis, without coma","K71.10","ICD10CM"
45552948,"Toxic liver disease with hepatic necrosis, with coma","K71.11","ICD10CM"
35208334,"Toxic liver disease with acute hepatitis","K71.2","ICD10CM"
35208335,"Toxic liver disease with chronic persistent hepatitis","K71.3","ICD10CM"
35208336,"Toxic liver disease with chronic lobular hepatitis","K71.4","ICD10CM"
1569675,"Toxic liver disease with chronic active hepatitis","K71.5","ICD10CM"
45586731,"Toxic liver disease with chronic active hepatitis without ascites","K71.50","ICD10CM"
45543335,"Toxic liver disease with chronic active hepatitis with ascites","K71.51","ICD10CM"
35208337,"Toxic liver disease with hepatitis, not elsewhere classified","K71.6","ICD10CM"
35208338,"Toxic liver disease with fibrosis and cirrhosis of liver","K71.7","ICD10CM"
35208339,"Toxic liver disease with other disorders of liver","K71.8","ICD10CM"
35208340,"Toxic liver disease, unspecified","K71.9","ICD10CM"
1569676,"Hepatic failure, not elsewhere classified","K72","ICD10CM"
1569677,"Acute and subacute hepatic failure","K72.0","ICD10CM"
45567324,"Acute and subacute hepatic failure without coma","K72.00","ICD10CM"
45576999,"Chronic hepatic failure with coma","K72.11","ICD10CM"
1569679,"Hepatic failure, unspecified","K72.9","ICD10CM"
45557675,"Hepatic failure, unspecified without coma","K72.90","ICD10CM"
45572226,"Hepatic failure, unspecified with coma","K72.91","ICD10CM"
1569680,"Chronic hepatitis, not elsewhere classified","K73","ICD10CM"
35208341,"Chronic persistent hepatitis, not elsewhere classified","K73.0","ICD10CM"
35208342,"Chronic lobular hepatitis, not elsewhere classified","K73.1","ICD10CM"
35208343,"Chronic active hepatitis, not elsewhere classified","K73.2","ICD10CM"
35208344,"Other chronic hepatitis, not elsewhere classified","K73.8","ICD10CM"
35208345,"Chronic hepatitis, unspecified","K73.9","ICD10CM"
1569681,"Fibrosis and cirrhosis of liver","K74","ICD10CM"
35208346,"Hepatic fibrosis","K74.0","ICD10CM"
725367,"Hepatic fibrosis, unspecified","K74.00","ICD10CM"
725368,"Hepatic fibrosis, early fibrosis","K74.01","ICD10CM"
725369,"Hepatic fibrosis, advanced fibrosis","K74.02","ICD10CM"
35208347,"Hepatic sclerosis","K74.1","ICD10CM"
35208348,"Hepatic fibrosis with hepatic sclerosis","K74.2","ICD10CM"
35208349,"Primary biliary cirrhosis","K74.3","ICD10CM"
35208350,"Secondary biliary cirrhosis","K74.4","ICD10CM"
35208351,"Biliary cirrhosis, unspecified","K74.5","ICD10CM"
1569682,"Other and unspecified cirrhosis of liver","K74.6","ICD10CM"
45601187,"Unspecified cirrhosis of liver","K74.60","ICD10CM"
45581912,"Other cirrhosis of liver","K74.69","ICD10CM"
1569683,"Other inflammatory liver diseases","K75","ICD10CM"
35208352,"Abscess of liver","K75.0","ICD10CM"
35208353,"Phlebitis of portal vein","K75.1","ICD10CM"
35208354,"Nonspecific reactive hepatitis","K75.2","ICD10CM"
35208355,"Granulomatous hepatitis, not elsewhere classified","K75.3","ICD10CM"
45543341,"Other specified inflammatory liver diseases","K75.89","ICD10CM"
35208358,"Inflammatory liver disease, unspecified","K75.9","ICD10CM"
1569684,"Other diseases of liver","K76","ICD10CM"
35208359,"Fatty (change of) liver, not elsewhere classified","K76.0","ICD10CM"
35208360,"Chronic passive congestion of liver","K76.1","ICD10CM"
35208361,"Central hemorrhagic necrosis of liver","K76.2","ICD10CM"
35208362,"Infarction of liver","K76.3","ICD10CM"
35208363,"Peliosis hepatis","K76.4","ICD10CM"
35208364,"Hepatic veno-occlusive disease","K76.5","ICD10CM"
35208365,"Portal hypertension","K76.6","ICD10CM"
35208366,"Hepatorenal syndrome","K76.7","ICD10CM"
35208367,"Other specified diseases of liver","K76.8","ICD10CM"
45548170,"Hepatopulmonary syndrome","K76.81","ICD10CM"
37402533,"Hepatic encephalopathy","K76.82","ICD10CM"
45605957,"Other specified diseases of liver","K76.89","ICD10CM"
35208368,"Liver disease, unspecified","K76.9","ICD10CM"
35208369,"Liver disorders in diseases classified elsewhere","K77","ICD10CM"
